iter	Passed	Remaining
0	153	45857
1	167	24888
2	181	17966
3	194	14425
4	210	12411
5	224	11009
6	237	9956
7	249	9118
8	261	8462
9	277	8051
10	293	7699
11	307	7379
12	318	7031
13	332	6801
14	347	6599
15	361	6422
16	375	6249
17	389	6108
18	403	5969
19	416	5835
20	430	5725
21	443	5608
22	457	5507
23	470	5414
24	484	5325
25	496	5234
26	509	5152
27	522	5072
28	531	4965
29	544	4901
30	557	4841
31	571	4784
32	584	4732
33	599	4691
34	613	4644
35	622	4564
36	635	4519
37	651	4488
38	664	4445
39	680	4424
40	690	4364
41	704	4325
42	717	4289
43	731	4258
44	744	4221
45	758	4186
46	772	4157
47	785	4124
48	799	4093
49	814	4070
50	828	4046
51	842	4015
52	855	3985
53	869	3962
54	883	3934
55	897	3910
56	912	3889
57	927	3869
58	938	3833
59	951	3804
60	966	3784
61	982	3769
62	999	3758
63	1017	3751
64	1032	3734
65	1048	3718
66	1064	3700
67	1078	3679
68	1093	3659
69	1107	3638
70	1121	3616
71	1136	3599
72	1151	3580
73	1165	3559
74	1178	3534
75	1191	3511
76	1204	3488
77	1217	3464
78	1229	3440
79	1242	3415
80	1253	3388
81	1267	3369
82	1282	3353
83	1297	3335
84	1311	3317
85	1325	3298
86	1340	3282
87	1354	3262
88	1368	3243
89	1382	3224
90	1396	3206
91	1410	3189
92	1425	3173
93	1442	3160
94	1457	3144
95	1472	3128
96	1484	3106
97	1498	3088
98	1514	3075
99	1528	3057
100	1543	3040
101	1557	3022
102	1570	3003
103	1583	2984
104	1596	2965
105	1612	2950
106	1627	2934
107	1641	2917
108	1655	2901
109	1669	2883
110	1681	2863
111	1694	2844
112	1708	2826
113	1720	2807
114	1734	2789
115	1747	2771
116	1760	2753
117	1775	2738
118	1787	2718
119	1799	2699
120	1813	2682
121	1827	2666
122	1842	2651
123	1856	2635
124	1869	2617
125	1884	2601
126	1897	2584
127	1911	2568
128	1925	2551
129	1939	2536
130	1952	2518
131	1966	2502
132	1981	2487
133	1993	2469
134	2007	2453
135	2022	2438
136	2037	2424
137	2051	2408
138	2061	2387
139	2074	2371
140	2088	2355
141	2102	2339
142	2115	2322
143	2129	2306
144	2142	2289
145	2156	2274
146	2169	2257
147	2182	2241
148	2195	2224
149	2208	2208
150	2221	2192
151	2236	2177
152	2251	2163
153	2265	2147
154	2278	2131
155	2291	2115
156	2303	2098
157	2316	2082
158	2329	2066
159	2341	2049
160	2353	2031
161	2365	2014
162	2376	1997
163	2388	1980
164	2400	1964
165	2412	1947
166	2423	1930
167	2434	1913
168	2446	1896
169	2457	1879
170	2468	1862
171	2477	1843
172	2486	1825
173	2497	1808
174	2507	1791
175	2517	1774
176	2529	1758
177	2540	1741
178	2550	1724
179	2561	1707
180	2571	1690
181	2580	1673
182	2590	1656
183	2599	1638
184	2609	1622
185	2618	1604
186	2627	1587
187	2637	1571
188	2646	1554
189	2656	1537
190	2665	1520
191	2675	1504
192	2684	1488
193	2692	1471
194	2701	1454
195	2710	1438
196	2719	1421
197	2728	1405
198	2737	1389
199	2746	1373
200	2757	1358
201	2766	1342
202	2775	1326
203	2784	1310
204	2792	1294
205	2802	1278
206	2812	1263
207	2821	1248
208	2831	1232
209	2840	1217
210	2848	1201
211	2857	1186
212	2867	1171
213	2876	1156
214	2886	1141
215	2895	1126
216	2905	1111
217	2915	1096
218	2925	1081
219	2935	1067
220	2945	1052
221	2955	1038
222	2965	1023
223	2974	1009
224	2984	994
225	2993	980
226	3002	965
227	3011	951
228	3021	936
229	3031	922
230	3040	908
231	3049	893
232	3059	879
233	3069	865
234	3079	851
235	3088	837
236	3098	823
237	3107	809
238	3116	795
239	3126	781
240	3136	767
241	3146	754
242	3155	740
243	3165	726
244	3174	712
245	3184	698
246	3192	685
247	3203	671
248	3213	658
249	3222	644
250	3233	631
251	3242	617
252	3252	604
253	3263	590
254	3272	577
255	3281	563
256	3290	550
257	3300	537
258	3311	524
259	3321	511
260	3331	497
261	3341	484
262	3351	471
263	3361	458
264	3371	445
265	3381	432
266	3390	419
267	3399	405
268	3410	392
269	3418	379
270	3429	366
271	3438	353
272	3448	341
273	3457	328
274	3466	315
275	3475	302
276	3484	289
277	3494	276
278	3503	263
279	3513	250
280	3523	238
281	3532	225
282	3541	212
283	3550	200
284	3560	187
285	3569	174
286	3579	162
287	3588	149
288	3598	136
289	3607	124
290	3616	111
291	3626	99
292	3634	86
293	3645	74
294	3654	61
295	3664	49
296	3673	37
297	3682	24
298	3692	12
299	3701	0
